,exam_score,sleep_hours,study_hours_per_day,attendance_percentage
exam_score,1.0,0.16891863143899527,0.3626839317166095,0.1691383035196545
sleep_hours,0.16891863143899527,1.0,0.00276677298080185,-0.00694831487520676
study_hours_per_day,0.3626839317166095,0.00276677298080185,1.0,0.0031983207288710804
attendance_percentage,0.1691383035196545,-0.00694831487520676,0.0031983207288710804,1.0
